county_code,县区,County Name,城市,City Name,C2008,C2009,C2010,C2011,C2012,C2013,C2014,C2015,C2016,C2017
440103,荔湾区,Liwan District,广州市,Guangzhou City,1.503039,1.606963,1.703382,1.780838,1.810494,1.753168,1.743894,1.639115,1.673987,1.594597
440104,越秀区,Yuexiu District,广州市,Guangzhou City,0.799996,0.85531,0.906629,0.947856,0.96364,0.933128,0.919789,0.863324,0.881198,0.839162
440105,海珠区,Haizhu District,广州市,Guangzhou City,2.090385,2.234919,2.369015,2.47674,2.517985,2.438257,2.408879,2.258985,2.308394,2.202817
440106,天河区,Tianhe District,广州市,Guangzhou City,3.023288,3.232326,3.426267,3.582067,3.642129,3.526807,3.49121,3.285923,3.358484,3.206226
440111,白云区,Baiyun District,广州市,Guangzhou City,9.424793,10.076448,10.683163,11.258186,11.46927,11.198929,11.017898,10.302406,10.513378,10.00399
440112,黄埔区,Huangpu District,广州市,Guangzhou City,5.25101,5.674196,6.071423,6.453495,6.569995,6.361967,6.588519,6.366644,6.574998,6.350938
440113,番禺区,Panyu District,广州市,Guangzhou City,11.441568,12.232667,12.975902,13.589972,13.816898,13.379409,13.449237,12.812532,13.188333,12.625847
440114,花都区,Huadu District,广州市,Guangzhou City,7.230979,7.732952,8.21354,8.797798,8.956621,8.679583,9.204499,9.355995,9.819249,9.725768
440115,南沙区,Nansha District,广州市,Guangzhou City,3.856681,4.134637,4.445283,4.773196,4.852889,4.700621,5.022938,4.866147,5.025986,4.823454
440183,增城区,Zengcheng District,广州市,Guangzhou City,7.27443,7.808555,8.500494,9.466042,9.694283,9.416744,9.996878,9.925868,10.396361,10.606387
440184,从化区,Conghua District,广州市,Guangzhou City,4.141238,4.427574,4.726831,5.177171,5.272211,5.149198,5.733545,5.601294,5.814254,5.675283
440203,武江区,Wujiang District,韶关市,Shaoguan City,1.348322,1.446103,1.53538,1.616705,1.643628,1.591585,1.658012,1.600428,1.668291,1.662925
440204,浈江区,Zhenjiang District,韶关市,Shaoguan City,1.771238,1.89571,2.009453,2.102039,2.140944,2.074943,2.141201,2.030728,2.08109,2.063223
440205,曲江区,Qujiang District,韶关市,Shaoguan City,2.376645,2.540973,2.694398,2.831656,2.879222,2.788056,2.947552,2.842351,2.919987,2.821667
440222,始兴县,Shixing County,韶关市,Shaoguan City,0.638804,0.683337,0.728972,0.7813,0.796158,0.772936,0.767258,0.715845,0.73803,0.705822
440224,仁化县,Renhua County,韶关市,Shaoguan City,1.103808,1.180128,1.254412,1.326594,1.349507,1.307373,1.300926,1.228405,1.257595,1.22311
440229,翁源县,Wengyuan County,韶关市,Shaoguan City,0.931199,0.995949,1.056479,1.121478,1.147953,1.175006,1.206434,1.171562,1.188909,1.148384
440232,乳源瑶族自治县,Ruyuan Yao Autonomous County,韶关市,Shaoguan City,1.084724,1.159724,1.229308,1.288034,1.309484,1.26822,1.277236,1.199157,1.227241,1.183713
440233,新丰县,Xinfeng County,韶关市,Shaoguan City,0.673224,0.719772,0.763538,0.816226,0.832281,0.811096,0.824676,0.779535,0.822261,0.808498
440281,乐昌市,Lechang City,韶关市,Shaoguan City,1.43403,1.533182,1.632126,1.716235,1.744815,1.694139,1.73535,1.636453,1.675201,1.668595
440282,南雄市,Nanxiong City,韶关市,Shaoguan City,0.579848,0.622309,0.66293,0.719523,0.73561,0.724441,0.740058,0.714367,0.735657,0.714787
440303,罗湖区,Luohu District,深圳市,Shenzhen City,1.806339,1.931234,2.047109,2.140196,2.175836,2.106942,2.101293,1.997424,2.042086,1.948592
440304,福田区,Futian District,深圳市,Shenzhen City,1.553305,1.660705,1.760348,1.840395,1.871043,1.811799,1.785306,1.670922,1.705184,1.622606
440305,南山区,Nanshan District,深圳市,Shenzhen City,3.62648,3.877224,4.10986,4.296745,4.368297,4.229982,4.166688,3.89629,3.976078,3.789468
440306,宝安区,Bao'an District,深圳市,Shenzhen City,13.159813,14.069717,14.913906,15.592078,15.851729,15.34981,15.117818,14.112836,14.395477,13.65986
440307,龙岗区,Longgang District,深圳市,Shenzhen City,11.183933,11.957219,12.674658,13.306726,13.532219,13.104936,13.316877,12.706964,13.038017,12.490678
440308,盐田区,Yantian District,深圳市,Shenzhen City,1.262103,1.349368,1.430331,1.495371,1.520273,1.472136,1.406486,1.504601,1.577426,1.535357
440402,香洲区,Xiangzhou District,珠海市,Zhuhai City,5.531477,5.913938,6.280556,6.613187,6.725778,6.522159,6.660053,6.512373,6.800673,6.567301
440403,斗门区,Doumen District,珠海市,Zhuhai City,3.488291,3.729481,3.987238,4.347418,4.420225,4.284042,4.669988,4.581786,4.772828,4.750379
440404,金湾区,Jinwan District,珠海市,Zhuhai City,3.632614,3.892527,4.142301,4.416463,4.490215,4.365132,4.682642,4.60905,4.891107,4.813927
440507,龙湖区,Longhu District,汕头市,Shantou City,2.122589,2.26935,2.405512,2.523376,2.565397,2.484168,2.500138,2.399538,2.462313,2.378085
440511,金平区,Jinping District,汕头市,Shantou City,1.94538,2.079889,2.205455,2.308165,2.346603,2.272301,2.454746,2.50025,2.587299,2.551502
440512,濠江区,Haojiang District,汕头市,Shantou City,1.88915,2.019771,2.142889,2.28293,2.321973,2.248451,2.369049,2.425478,2.819587,3.121688
440513,潮阳区,Chaoyang District,汕头市,Shantou City,3.715425,3.973959,4.217612,4.487729,4.571083,4.428533,4.864727,5.016789,5.230509,5.550738
440514,潮南区,Chaonan District,汕头市,Shantou City,2.716239,2.917164,3.134871,3.378162,3.447554,3.342368,3.685842,3.732334,4.041394,4.561324
440515,澄海区,Chenghai District,汕头市,Shantou City,3.088037,3.301552,3.506406,3.775071,3.838347,3.717408,3.86278,3.841843,4.010502,4.164818
